表章項目 コード,表章項目,時間軸 コード,時間軸,全国、都道府県、21大都市 コード,全国、都道府県、21大都市,腐朽・破損の有無 コード,腐朽・破損の有無,住宅の建て方 コード,住宅の建て方,建物の構造 コード,建物の構造,賃貸・売却用及び二次的住宅を除く空き家
03-2023,空き家数【戸】,2023000000.0,2023年,12000.0,千葉県,0.0,総数,1.0,一戸建,1.0,木造,104300.0
03-2023,空き家数【戸】,2023000000.0,2023年,12000.0,千葉県,0.0,総数,1.0,一戸建,2.0,非木造,3900.0
03-2023,空き家数【戸】,2023000000.0,2023年,12000.0,千葉県,0.0,総数,2.0,長屋建,1.0,木造,1600.0
03-2023,空き家数【戸】,2023000000.0,2023年,12000.0,千葉県,0.0,総数,2.0,長屋建,2.0,非木造,800.0
03-2023,空き家数【戸】,2023000000.0,2023年,12000.0,千葉県,0.0,総数,3.0,共同住宅,1.0,木造,9500.0
03-2023,空き家数【戸】,2023000000.0,2023年,12000.0,千葉県,0.0,総数,3.0,共同住宅,2.0,非木造,37800.0
03-2023,空き家数【戸】,2023000000.0,2023年,12000.0,千葉県,1.0,腐朽・破損あり,1.0,一戸建,1.0,木造,25100.0
03-2023,空き家数【戸】,2023000000.0,2023年,12000.0,千葉県,1.0,腐朽・破損あり,1.0,一戸建,2.0,非木造,700.0
03-2023,空き家数【戸】,2023000000.0,2023年,12000.0,千葉県,1.0,腐朽・破損あり,2.0,長屋建,1.0,木造,600.0
03-2023,空き家数【戸】,2023000000.0,2023年,12000.0,千葉県,1.0,腐朽・破損あり,2.0,長屋建,2.0,非木造,300.0
03-2023,空き家数【戸】,2023000000.0,2023年,12000.0,千葉県,1.0,腐朽・破損あり,3.0,共同住宅,1.0,木造,1800.0
03-2023,空き家数【戸】,2023000000.0,2023年,12000.0,千葉県,1.0,腐朽・破損あり,3.0,共同住宅,2.0,非木造,4000.0
03-2023,空き家数【戸】,2023000000.0,2023年,12000.0,千葉県,2.0,腐朽・破損なし,1.0,一戸建,1.0,木造,79100.0
03-2023,空き家数【戸】,2023000000.0,2023年,12000.0,千葉県,2.0,腐朽・破損なし,1.0,一戸建,2.0,非木造,3100.0
03-2023,空き家数【戸】,2023000000.0,2023年,12000.0,千葉県,2.0,腐朽・破損なし,2.0,長屋建,1.0,木造,1100.0
03-2023,空き家数【戸】,2023000000.0,2023年,12000.0,千葉県,2.0,腐朽・破損なし,2.0,長屋建,2.0,非木造,600.0
03-2023,空き家数【戸】,2023000000.0,2023年,12000.0,千葉県,2.0,腐朽・破損なし,3.0,共同住宅,1.0,木造,7700.0
03-2023,空き家数【戸】,2023000000.0,2023年,12000.0,千葉県,2.0,腐朽・破損なし,3.0,共同住宅,2.0,非木造,33800.0
03-2023,空き家数【戸】,2023000000.0,2023年,13000.0,東京都,0.0,総数,1.0,一戸建,1.0,木造,68300.0
03-2023,空き家数【戸】,2023000000.0,2023年,13000.0,東京都,0.0,総数,1.0,一戸建,2.0,非木造,6200.0
03-2023,空き家数【戸】,2023000000.0,2023年,13000.0,東京都,0.0,総数,2.0,長屋建,1.0,木造,2600.0
03-2023,空き家数【戸】,2023000000.0,2023年,13000.0,東京都,0.0,総数,2.0,長屋建,2.0,非木造,1100.0
03-2023,空き家数【戸】,2023000000.0,2023年,13000.0,東京都,0.0,総数,3.0,共同住宅,1.0,木造,21800.0
03-2023,空き家数【戸】,2023000000.0,2023年,13000.0,東京都,0.0,総数,3.0,共同住宅,2.0,非木造,112700.0
03-2023,空き家数【戸】,2023000000.0,2023年,13000.0,東京都,1.0,腐朽・破損あり,1.0,一戸建,1.0,木造,19700.0
03-2023,空き家数【戸】,2023000000.0,2023年,13000.0,東京都,1.0,腐朽・破損あり,1.0,一戸建,2.0,非木造,1400.0
03-2023,空き家数【戸】,2023000000.0,2023年,13000.0,東京都,1.0,腐朽・破損あり,2.0,長屋建,1.0,木造,700.0
03-2023,空き家数【戸】,2023000000.0,2023年,13000.0,東京都,1.0,腐朽・破損あり,2.0,長屋建,2.0,非木造,200.0
03-2023,空き家数【戸】,2023000000.0,2023年,13000.0,東京都,1.0,腐朽・破損あり,3.0,共同住宅,1.0,木造,4800.0
03-2023,空き家数【戸】,2023000000.0,2023年,13000.0,東京都,1.0,腐朽・破損あり,3.0,共同住宅,2.0,非木造,10500.0
03-2023,空き家数【戸】,2023000000.0,2023年,13000.0,東京都,2.0,腐朽・破損なし,1.0,一戸建,1.0,木造,48500.0
03-2023,空き家数【戸】,2023000000.0,2023年,13000.0,東京都,2.0,腐朽・破損なし,1.0,一戸建,2.0,非木造,4800.0
03-2023,空き家数【戸】,2023000000.0,2023年,13000.0,東京都,2.0,腐朽・破損なし,2.0,長屋建,1.0,木造,1900.0
03-2023,空き家数【戸】,2023000000.0,2023年,13000.0,東京都,2.0,腐朽・破損なし,2.0,長屋建,2.0,非木造,900.0
03-2023,空き家数【戸】,2023000000.0,2023年,13000.0,東京都,2.0,腐朽・破損なし,3.0,共同住宅,1.0,木造,17000.0
03-2023,空き家数【戸】,2023000000.0,2023年,13000.0,東京都,2.0,腐朽・破損なし,3.0,共同住宅,2.0,非木造,102200.0
03-2023,空き家数【戸】,2023000000.0,2023年,14000.0,神奈川県,0.0,総数,1.0,一戸建,1.0,木造,65200.0
03-2023,空き家数【戸】,2023000000.0,2023年,14000.0,神奈川県,0.0,総数,1.0,一戸建,2.0,非木造,4700.0
03-2023,空き家数【戸】,2023000000.0,2023年,14000.0,神奈川県,0.0,総数,2.0,長屋建,1.0,木造,2900.0
03-2023,空き家数【戸】,2023000000.0,2023年,14000.0,神奈川県,0.0,総数,2.0,長屋建,2.0,非木造,1100.0
03-2023,空き家数【戸】,2023000000.0,2023年,14000.0,神奈川県,0.0,総数,3.0,共同住宅,1.0,木造,16100.0
03-2023,空き家数【戸】,2023000000.0,2023年,14000.0,神奈川県,0.0,総数,3.0,共同住宅,2.0,非木造,60200.0
03-2023,空き家数【戸】,2023000000.0,2023年,14000.0,神奈川県,1.0,腐朽・破損あり,1.0,一戸建,1.0,木造,16600.0
03-2023,空き家数【戸】,2023000000.0,2023年,14000.0,神奈川県,1.0,腐朽・破損あり,1.0,一戸建,2.0,非木造,900.0
03-2023,空き家数【戸】,2023000000.0,2023年,14000.0,神奈川県,1.0,腐朽・破損あり,2.0,長屋建,1.0,木造,1300.0
03-2023,空き家数【戸】,2023000000.0,2023年,14000.0,神奈川県,1.0,腐朽・破損あり,2.0,長屋建,2.0,非木造,400.0
03-2023,空き家数【戸】,2023000000.0,2023年,14000.0,神奈川県,1.0,腐朽・破損あり,3.0,共同住宅,1.0,木造,4300.0
03-2023,空き家数【戸】,2023000000.0,2023年,14000.0,神奈川県,1.0,腐朽・破損あり,3.0,共同住宅,2.0,非木造,5700.0
03-2023,空き家数【戸】,2023000000.0,2023年,14000.0,神奈川県,2.0,腐朽・破損なし,1.0,一戸建,1.0,木造,48600.0
03-2023,空き家数【戸】,2023000000.0,2023年,14000.0,神奈川県,2.0,腐朽・破損なし,1.0,一戸建,2.0,非木造,3800.0
03-2023,空き家数【戸】,2023000000.0,2023年,14000.0,神奈川県,2.0,腐朽・破損なし,2.0,長屋建,1.0,木造,1600.0
03-2023,空き家数【戸】,2023000000.0,2023年,14000.0,神奈川県,2.0,腐朽・破損なし,2.0,長屋建,2.0,非木造,700.0
03-2023,空き家数【戸】,2023000000.0,2023年,14000.0,神奈川県,2.0,腐朽・破損なし,3.0,共同住宅,1.0,木造,11800.0
03-2023,空き家数【戸】,2023000000.0,2023年,14000.0,神奈川県,2.0,腐朽・破損なし,3.0,共同住宅,2.0,非木造,54500.0
03-2023,空き家数【戸】,2023000000.0,2023年,15000.0,新潟県,0.0,総数,1.0,一戸建,1.0,木造,68700.0
03-2023,空き家数【戸】,2023000000.0,2023年,15000.0,新潟県,0.0,総数,1.0,一戸建,2.0,非木造,1100.0
03-2023,空き家数【戸】,2023000000.0,2023年,15000.0,新潟県,0.0,総数,2.0,長屋建,1.0,木造,700.0
03-2023,空き家数【戸】,2023000000.0,2023年,15000.0,新潟県,0.0,総数,2.0,長屋建,2.0,非木造,400.0
03-2023,空き家数【戸】,2023000000.0,2023年,15000.0,新潟県,0.0,総数,3.0,共同住宅,1.0,木造,2000.0
03-2023,空き家数【戸】,2023000000.0,2023年,15000.0,新潟県,0.0,総数,3.0,共同住宅,2.0,非木造,4300.0
03-2023,空き家数【戸】,2023000000.0,2023年,15000.0,新潟県,1.0,腐朽・破損あり,1.0,一戸建,1.0,木造,17200.0
03-2023,空き家数【戸】,2023000000.0,2023年,15000.0,新潟県,1.0,腐朽・破損あり,1.0,一戸建,2.0,非木造,200.0
03-2023,空き家数【戸】,2023000000.0,2023年,15000.0,新潟県,1.0,腐朽・破損あり,2.0,長屋建,1.0,木造,400.0
03-2023,空き家数【戸】,2023000000.0,2023年,15000.0,新潟県,1.0,腐朽・破損あり,2.0,長屋建,2.0,非木造,100.0
03-2023,空き家数【戸】,2023000000.0,2023年,15000.0,新潟県,1.0,腐朽・破損あり,3.0,共同住宅,1.0,木造,600.0
03-2023,空き家数【戸】,2023000000.0,2023年,15000.0,新潟県,1.0,腐朽・破損あり,3.0,共同住宅,2.0,非木造,1000.0
03-2023,空き家数【戸】,2023000000.0,2023年,15000.0,新潟県,2.0,腐朽・破損なし,1.0,一戸建,1.0,木造,51600.0
03-2023,空き家数【戸】,2023000000.0,2023年,15000.0,新潟県,2.0,腐朽・破損なし,1.0,一戸建,2.0,非木造,900.0
03-2023,空き家数【戸】,2023000000.0,2023年,15000.0,新潟県,2.0,腐朽・破損なし,2.0,長屋建,1.0,木造,300.0
03-2023,空き家数【戸】,2023000000.0,2023年,15000.0,新潟県,2.0,腐朽・破損なし,2.0,長屋建,2.0,非木造,300.0
03-2023,空き家数【戸】,2023000000.0,2023年,15000.0,新潟県,2.0,腐朽・破損なし,3.0,共同住宅,1.0,木造,1400.0
03-2023,空き家数【戸】,2023000000.0,2023年,15000.0,新潟県,2.0,腐朽・破損なし,3.0,共同住宅,2.0,非木造,3300.0
03-2023,空き家数【戸】,2023000000.0,2023年,16000.0,富山県,0.0,総数,1.0,一戸建,1.0,木造,32600.0
03-2023,空き家数【戸】,2023000000.0,2023年,16000.0,富山県,0.0,総数,1.0,一戸建,2.0,非木造,1200.0
03-2023,空き家数【戸】,2023000000.0,2023年,16000.0,富山県,0.0,総数,2.0,長屋建,1.0,木造,300.0
03-2023,空き家数【戸】,2023000000.0,2023年,16000.0,富山県,0.0,総数,2.0,長屋建,2.0,非木造,300.0
03-2023,空き家数【戸】,2023000000.0,2023年,16000.0,富山県,0.0,総数,3.0,共同住宅,1.0,木造,700.0
03-2023,空き家数【戸】,2023000000.0,2023年,16000.0,富山県,0.0,総数,3.0,共同住宅,2.0,非木造,4300.0
03-2023,空き家数【戸】,2023000000.0,2023年,16000.0,富山県,1.0,腐朽・破損あり,1.0,一戸建,1.0,木造,8100.0
03-2023,空き家数【戸】,2023000000.0,2023年,16000.0,富山県,1.0,腐朽・破損あり,1.0,一戸建,2.0,非木造,200.0
03-2023,空き家数【戸】,2023000000.0,2023年,16000.0,富山県,1.0,腐朽・破損あり,2.0,長屋建,1.0,木造,200.0
03-2023,空き家数【戸】,2023000000.0,2023年,16000.0,富山県,1.0,腐朽・破損あり,2.0,長屋建,2.0,非木造,100.0
03-2023,空き家数【戸】,2023000000.0,2023年,16000.0,富山県,1.0,腐朽・破損あり,3.0,共同住宅,1.0,木造,100.0
03-2023,空き家数【戸】,2023000000.0,2023年,16000.0,富山県,1.0,腐朽・破損あり,3.0,共同住宅,2.0,非木造,500.0
03-2023,空き家数【戸】,2023000000.0,2023年,16000.0,富山県,2.0,腐朽・破損なし,1.0,一戸建,1.0,木造,24500.0
03-2023,空き家数【戸】,2023000000.0,2023年,16000.0,富山県,2.0,腐朽・破損なし,1.0,一戸建,2.0,非木造,1000.0
03-2023,空き家数【戸】,2023000000.0,2023年,16000.0,富山県,2.0,腐朽・破損なし,2.0,長屋建,1.0,木造,100.0
03-2023,空き家数【戸】,2023000000.0,2023年,16000.0,富山県,2.0,腐朽・破損なし,2.0,長屋建,2.0,非木造,300.0
03-2023,空き家数【戸】,2023000000.0,2023年,16000.0,富山県,2.0,腐朽・破損なし,3.0,共同住宅,1.0,木造,500.0
03-2023,空き家数【戸】,2023000000.0,2023年,16000.0,富山県,2.0,腐朽・破損なし,3.0,共同住宅,2.0,非木造,3800.0
03-2023,空き家数【戸】,2023000000.0,2023年,17000.0,石川県,0.0,総数,1.0,一戸建,1.0,木造,36200.0
03-2023,空き家数【戸】,2023000000.0,2023年,17000.0,石川県,0.0,総数,1.0,一戸建,2.0,非木造,400.0
03-2023,空き家数【戸】,2023000000.0,2023年,17000.0,石川県,0.0,総数,2.0,長屋建,1.0,木造,400.0
03-2023,空き家数【戸】,2023000000.0,2023年,17000.0,石川県,0.0,総数,2.0,長屋建,2.0,非木造,0.0
03-2023,空き家数【戸】,2023000000.0,2023年,17000.0,石川県,0.0,総数,3.0,共同住宅,1.0,木造,1100.0
03-2023,空き家数【戸】,2023000000.0,2023年,17000.0,石川県,0.0,総数,3.0,共同住宅,2.0,非木造,2400.0
03-2023,空き家数【戸】,2023000000.0,2023年,17000.0,石川県,1.0,腐朽・破損あり,1.0,一戸建,1.0,木造,8900.0
03-2023,空き家数【戸】,2023000000.0,2023年,17000.0,石川県,1.0,腐朽・破損あり,1.0,一戸建,2.0,非木造,100.0
03-2023,空き家数【戸】,2023000000.0,2023年,17000.0,石川県,1.0,腐朽・破損あり,2.0,長屋建,1.0,木造,200.0
03-2023,空き家数【戸】,2023000000.0,2023年,17000.0,石川県,1.0,腐朽・破損あり,2.0,長屋建,2.0,非木造,
03-2023,空き家数【戸】,2023000000.0,2023年,17000.0,石川県,1.0,腐朽・破損あり,3.0,共同住宅,1.0,木造,200.0
03-2023,空き家数【戸】,2023000000.0,2023年,17000.0,石川県,1.0,腐朽・破損あり,3.0,共同住宅,2.0,非木造,100.0
03-2023,空き家数【戸】,2023000000.0,2023年,17000.0,石川県,2.0,腐朽・破損なし,1.0,一戸建,1.0,木造,27300.0
03-2023,空き家数【戸】,2023000000.0,2023年,17000.0,石川県,2.0,腐朽・破損なし,1.0,一戸建,2.0,非木造,400.0
03-2023,空き家数【戸】,2023000000.0,2023年,17000.0,石川県,2.0,腐朽・破損なし,2.0,長屋建,1.0,木造,100.0
03-2023,空き家数【戸】,2023000000.0,2023年,17000.0,石川県,2.0,腐朽・破損なし,2.0,長屋建,2.0,非木造,0.0
03-2023,空き家数【戸】,2023000000.0,2023年,17000.0,石川県,2.0,腐朽・破損なし,3.0,共同住宅,1.0,木造,900.0
03-2023,空き家数【戸】,2023000000.0,2023年,17000.0,石川県,2.0,腐朽・破損なし,3.0,共同住宅,2.0,非木造,2300.0
03-2023,空き家数【戸】,2023000000.0,2023年,18000.0,福井県,0.0,総数,1.0,一戸建,1.0,木造,24300.0
03-2023,空き家数【戸】,2023000000.0,2023年,18000.0,福井県,0.0,総数,1.0,一戸建,2.0,非木造,1100.0
03-2023,空き家数【戸】,2023000000.0,2023年,18000.0,福井県,0.0,総数,2.0,長屋建,1.0,木造,400.0
03-2023,空き家数【戸】,2023000000.0,2023年,18000.0,福井県,0.0,総数,2.0,長屋建,2.0,非木造,100.0
03-2023,空き家数【戸】,2023000000.0,2023年,18000.0,福井県,0.0,総数,3.0,共同住宅,1.0,木造,300.0
03-2023,空き家数【戸】,2023000000.0,2023年,18000.0,福井県,0.0,総数,3.0,共同住宅,2.0,非木造,2500.0
03-2023,空き家数【戸】,2023000000.0,2023年,18000.0,福井県,1.0,腐朽・破損あり,1.0,一戸建,1.0,木造,6000.0
03-2023,空き家数【戸】,2023000000.0,2023年,18000.0,福井県,1.0,腐朽・破損あり,1.0,一戸建,2.0,非木造,200.0
03-2023,空き家数【戸】,2023000000.0,2023年,18000.0,福井県,1.0,腐朽・破損あり,2.0,長屋建,1.0,木造,200.0
03-2023,空き家数【戸】,2023000000.0,2023年,18000.0,福井県,1.0,腐朽・破損あり,2.0,長屋建,2.0,非木造,0.0
03-2023,空き家数【戸】,2023000000.0,2023年,18000.0,福井県,1.0,腐朽・破損あり,3.0,共同住宅,1.0,木造,100.0
03-2023,空き家数【戸】,2023000000.0,2023年,18000.0,福井県,1.0,腐朽・破損あり,3.0,共同住宅,2.0,非木造,200.0
03-2023,空き家数【戸】,2023000000.0,2023年,18000.0,福井県,2.0,腐朽・破損なし,1.0,一戸建,1.0,木造,18300.0
03-2023,空き家数【戸】,2023000000.0,2023年,18000.0,福井県,2.0,腐朽・破損なし,1.0,一戸建,2.0,非木造,900.0
03-2023,空き家数【戸】,2023000000.0,2023年,18000.0,福井県,2.0,腐朽・破損なし,2.0,長屋建,1.0,木造,200.0
03-2023,空き家数【戸】,2023000000.0,2023年,18000.0,福井県,2.0,腐朽・破損なし,2.0,長屋建,2.0,非木造,100.0
03-2023,空き家数【戸】,2023000000.0,2023年,18000.0,福井県,2.0,腐朽・破損なし,3.0,共同住宅,1.0,木造,200.0
03-2023,空き家数【戸】,2023000000.0,2023年,18000.0,福井県,2.0,腐朽・破損なし,3.0,共同住宅,2.0,非木造,2200.0
03-2023,空き家数【戸】,2023000000.0,2023年,19000.0,山梨県,0.0,総数,1.0,一戸建,1.0,木造,31700.0
03-2023,空き家数【戸】,2023000000.0,2023年,19000.0,山梨県,0.0,総数,1.0,一戸建,2.0,非木造,2200.0
03-2023,空き家数【戸】,2023000000.0,2023年,19000.0,山梨県,0.0,総数,2.0,長屋建,1.0,木造,500.0
03-2023,空き家数【戸】,2023000000.0,2023年,19000.0,山梨県,0.0,総数,2.0,長屋建,2.0,非木造,0.0
03-2023,空き家数【戸】,2023000000.0,2023年,19000.0,山梨県,0.0,総数,3.0,共同住宅,1.0,木造,600.0
03-2023,空き家数【戸】,2023000000.0,2023年,19000.0,山梨県,0.0,総数,3.0,共同住宅,2.0,非木造,1800.0
03-2023,空き家数【戸】,2023000000.0,2023年,19000.0,山梨県,1.0,腐朽・破損あり,1.0,一戸建,1.0,木造,9100.0
03-2023,空き家数【戸】,2023000000.0,2023年,19000.0,山梨県,1.0,腐朽・破損あり,1.0,一戸建,2.0,非木造,500.0
03-2023,空き家数【戸】,2023000000.0,2023年,19000.0,山梨県,1.0,腐朽・破損あり,2.0,長屋建,1.0,木造,100.0
03-2023,空き家数【戸】,2023000000.0,2023年,19000.0,山梨県,1.0,腐朽・破損あり,2.0,長屋建,2.0,非木造,
03-2023,空き家数【戸】,2023000000.0,2023年,19000.0,山梨県,1.0,腐朽・破損あり,3.0,共同住宅,1.0,木造,0.0
03-2023,空き家数【戸】,2023000000.0,2023年,19000.0,山梨県,1.0,腐朽・破損あり,3.0,共同住宅,2.0,非木造,100.0
03-2023,空き家数【戸】,2023000000.0,2023年,19000.0,山梨県,2.0,腐朽・破損なし,1.0,一戸建,1.0,木造,22600.0
03-2023,空き家数【戸】,2023000000.0,2023年,19000.0,山梨県,2.0,腐朽・破損なし,1.0,一戸建,2.0,非木造,1700.0
03-2023,空き家数【戸】,2023000000.0,2023年,19000.0,山梨県,2.0,腐朽・破損なし,2.0,長屋建,1.0,木造,400.0
03-2023,空き家数【戸】,2023000000.0,2023年,19000.0,山梨県,2.0,腐朽・破損なし,2.0,長屋建,2.0,非木造,0.0
03-2023,空き家数【戸】,2023000000.0,2023年,19000.0,山梨県,2.0,腐朽・破損なし,3.0,共同住宅,1.0,木造,600.0
03-2023,空き家数【戸】,2023000000.0,2023年,19000.0,山梨県,2.0,腐朽・破損なし,3.0,共同住宅,2.0,非木造,1600.0
03-2023,空き家数【戸】,2023000000.0,2023年,20000.0,長野県,0.0,総数,1.0,一戸建,1.0,木造,75600.0
03-2023,空き家数【戸】,2023000000.0,2023年,20000.0,長野県,0.0,総数,1.0,一戸建,2.0,非木造,3400.0
03-2023,空き家数【戸】,2023000000.0,2023年,20000.0,長野県,0.0,総数,2.0,長屋建,1.0,木造,2200.0
03-2023,空き家数【戸】,2023000000.0,2023年,20000.0,長野県,0.0,総数,2.0,長屋建,2.0,非木造,400.0
03-2023,空き家数【戸】,2023000000.0,2023年,20000.0,長野県,0.0,総数,3.0,共同住宅,1.0,木造,1300.0
03-2023,空き家数【戸】,2023000000.0,2023年,20000.0,長野県,0.0,総数,3.0,共同住宅,2.0,非木造,8700.0
03-2023,空き家数【戸】,2023000000.0,2023年,20000.0,長野県,1.0,腐朽・破損あり,1.0,一戸建,1.0,木造,18400.0
03-2023,空き家数【戸】,2023000000.0,2023年,20000.0,長野県,1.0,腐朽・破損あり,1.0,一戸建,2.0,非木造,300.0
03-2023,空き家数【戸】,2023000000.0,2023年,20000.0,長野県,1.0,腐朽・破損あり,2.0,長屋建,1.0,木造,900.0
03-2023,空き家数【戸】,2023000000.0,2023年,20000.0,長野県,1.0,腐朽・破損あり,2.0,長屋建,2.0,非木造,0.0
03-2023,空き家数【戸】,2023000000.0,2023年,20000.0,長野県,1.0,腐朽・破損あり,3.0,共同住宅,1.0,木造,200.0
03-2023,空き家数【戸】,2023000000.0,2023年,20000.0,長野県,1.0,腐朽・破損あり,3.0,共同住宅,2.0,非木造,700.0
03-2023,空き家数【戸】,2023000000.0,2023年,20000.0,長野県,2.0,腐朽・破損なし,1.0,一戸建,1.0,木造,57300.0
03-2023,空き家数【戸】,2023000000.0,2023年,20000.0,長野県,2.0,腐朽・破損なし,1.0,一戸建,2.0,非木造,3100.0
03-2023,空き家数【戸】,2023000000.0,2023年,20000.0,長野県,2.0,腐朽・破損なし,2.0,長屋建,1.0,木造,1300.0
03-2023,空き家数【戸】,2023000000.0,2023年,20000.0,長野県,2.0,腐朽・破損なし,2.0,長屋建,2.0,非木造,400.0
03-2023,空き家数【戸】,2023000000.0,2023年,20000.0,長野県,2.0,腐朽・破損なし,3.0,共同住宅,1.0,木造,1100.0
03-2023,空き家数【戸】,2023000000.0,2023年,20000.0,長野県,2.0,腐朽・破損なし,3.0,共同住宅,2.0,非木造,8000.0
03-2023,空き家数【戸】,2023000000.0,2023年,21000.0,岐阜県,0.0,総数,1.0,一戸建,1.0,木造,59700.0
03-2023,空き家数【戸】,2023000000.0,2023年,21000.0,岐阜県,0.0,総数,1.0,一戸建,2.0,非木造,3900.0
03-2023,空き家数【戸】,2023000000.0,2023年,21000.0,岐阜県,0.0,総数,2.0,長屋建,1.0,木造,1600.0
03-2023,空き家数【戸】,2023000000.0,2023年,21000.0,岐阜県,0.0,総数,2.0,長屋建,2.0,非木造,500.0
03-2023,空き家数【戸】,2023000000.0,2023年,21000.0,岐阜県,0.0,総数,3.0,共同住宅,1.0,木造,1500.0
03-2023,空き家数【戸】,2023000000.0,2023年,21000.0,岐阜県,0.0,総数,3.0,共同住宅,2.0,非木造,7000.0
03-2023,空き家数【戸】,2023000000.0,2023年,21000.0,岐阜県,1.0,腐朽・破損あり,1.0,一戸建,1.0,木造,15400.0
03-2023,空き家数【戸】,2023000000.0,2023年,21000.0,岐阜県,1.0,腐朽・破損あり,1.0,一戸建,2.0,非木造,700.0
03-2023,空き家数【戸】,2023000000.0,2023年,21000.0,岐阜県,1.0,腐朽・破損あり,2.0,長屋建,1.0,木造,700.0
03-2023,空き家数【戸】,2023000000.0,2023年,21000.0,岐阜県,1.0,腐朽・破損あり,2.0,長屋建,2.0,非木造,100.0
03-2023,空き家数【戸】,2023000000.0,2023年,21000.0,岐阜県,1.0,腐朽・破損あり,3.0,共同住宅,1.0,木造,300.0
03-2023,空き家数【戸】,2023000000.0,2023年,21000.0,岐阜県,1.0,腐朽・破損あり,3.0,共同住宅,2.0,非木造,1200.0
03-2023,空き家数【戸】,2023000000.0,2023年,21000.0,岐阜県,2.0,腐朽・破損なし,1.0,一戸建,1.0,木造,44300.0
03-2023,空き家数【戸】,2023000000.0,2023年,21000.0,岐阜県,2.0,腐朽・破損なし,1.0,一戸建,2.0,非木造,3100.0
03-2023,空き家数【戸】,2023000000.0,2023年,21000.0,岐阜県,2.0,腐朽・破損なし,2.0,長屋建,1.0,木造,900.0
03-2023,空き家数【戸】,2023000000.0,2023年,21000.0,岐阜県,2.0,腐朽・破損なし,2.0,長屋建,2.0,非木造,400.0
03-2023,空き家数【戸】,2023000000.0,2023年,21000.0,岐阜県,2.0,腐朽・破損なし,3.0,共同住宅,1.0,木造,1200.0
03-2023,空き家数【戸】,2023000000.0,2023年,21000.0,岐阜県,2.0,腐朽・破損なし,3.0,共同住宅,2.0,非木造,5800.0
03-2023,空き家数【戸】,2023000000.0,2023年,22000.0,静岡県,0.0,総数,1.0,一戸建,1.0,木造,77300.0
03-2023,空き家数【戸】,2023000000.0,2023年,22000.0,静岡県,0.0,総数,1.0,一戸建,2.0,非木造,5700.0
03-2023,空き家数【戸】,2023000000.0,2023年,22000.0,静岡県,0.0,総数,2.0,長屋建,1.0,木造,1100.0
03-2023,空き家数【戸】,2023000000.0,2023年,22000.0,静岡県,0.0,総数,2.0,長屋建,2.0,非木造,500.0
03-2023,空き家数【戸】,2023000000.0,2023年,22000.0,静岡県,0.0,総数,3.0,共同住宅,1.0,木造,2800.0
03-2023,空き家数【戸】,2023000000.0,2023年,22000.0,静岡県,0.0,総数,3.0,共同住宅,2.0,非木造,16600.0
03-2023,空き家数【戸】,2023000000.0,2023年,22000.0,静岡県,1.0,腐朽・破損あり,1.0,一戸建,1.0,木造,19700.0
03-2023,空き家数【戸】,2023000000.0,2023年,22000.0,静岡県,1.0,腐朽・破損あり,1.0,一戸建,2.0,非木造,1400.0
03-2023,空き家数【戸】,2023000000.0,2023年,22000.0,静岡県,1.0,腐朽・破損あり,2.0,長屋建,1.0,木造,200.0
03-2023,空き家数【戸】,2023000000.0,2023年,22000.0,静岡県,1.0,腐朽・破損あり,2.0,長屋建,2.0,非木造,200.0
03-2023,空き家数【戸】,2023000000.0,2023年,22000.0,静岡県,1.0,腐朽・破損あり,3.0,共同住宅,1.0,木造,500.0
03-2023,空き家数【戸】,2023000000.0,2023年,22000.0,静岡県,1.0,腐朽・破損あり,3.0,共同住宅,2.0,非木造,2400.0
03-2023,空き家数【戸】,2023000000.0,2023年,22000.0,静岡県,2.0,腐朽・破損なし,1.0,一戸建,1.0,木造,57600.0
03-2023,空き家数【戸】,2023000000.0,2023年,22000.0,静岡県,2.0,腐朽・破損なし,1.0,一戸建,2.0,非木造,4200.0
03-2023,空き家数【戸】,2023000000.0,2023年,22000.0,静岡県,2.0,腐朽・破損なし,2.0,長屋建,1.0,木造,800.0
03-2023,空き家数【戸】,2023000000.0,2023年,22000.0,静岡県,2.0,腐朽・破損なし,2.0,長屋建,2.0,非木造,400.0
03-2023,空き家数【戸】,2023000000.0,2023年,22000.0,静岡県,2.0,腐朽・破損なし,3.0,共同住宅,1.0,木造,2400.0
03-2023,空き家数【戸】,2023000000.0,2023年,22000.0,静岡県,2.0,腐朽・破損なし,3.0,共同住宅,2.0,非木造,14300.0
03-2023,空き家数【戸】,2023000000.0,2023年,23000.0,愛知県,0.0,総数,1.0,一戸建,1.0,木造,89000.0
03-2023,空き家数【戸】,2023000000.0,2023年,23000.0,愛知県,0.0,総数,1.0,一戸建,2.0,非木造,8400.0
03-2023,空き家数【戸】,2023000000.0,2023年,23000.0,愛知県,0.0,総数,2.0,長屋建,1.0,木造,6600.0
03-2023,空き家数【戸】,2023000000.0,2023年,23000.0,愛知県,0.0,総数,2.0,長屋建,2.0,非木造,1300.0
03-2023,空き家数【戸】,2023000000.0,2023年,23000.0,愛知県,0.0,総数,3.0,共同住宅,1.0,木造,4500.0
03-2023,空き家数【戸】,2023000000.0,2023年,23000.0,愛知県,0.0,総数,3.0,共同住宅,2.0,非木造,45200.0
